Autor,Titel,Absatz,Fokalisierung,Kommentar
Schiller,Der Vebrecher aus verlorener Ehre,"In der ganzen Geschichte des Menschen ist kein Kapitel unterrichtender für Herz und Geist als die Annalen seiner Verirrungen. Bei jedem großen Verbrechen war eine verhältnismäßig große Kraft in Bewegung. Wenn sich das geheime Spiel der Begehrungskraft bei dem matteren Licht gewöhnlicher Affekte versteckt, so wird es im Zustand gewaltsamer Leidenschaft desto hervorspringender, kolossalischer, lauter; der feinere Menschenforscher, welcher weiß, wie viel man auf die Mechanik der gewöhnlichen Willensfreiheit eigentlich rechnen darf und wie weit es erlaubt ist, analogisch zu schließen, wird manche Erfahrung aus diesem Gebiete in seine Seelenlehre herübertragen und für das sittliche Leben verarbeiten.",null,
Schiller,Der Vebrecher aus verlorener Ehre,"Es ist etwas so Einförmiges und doch wieder so Zusammengesetztes, das menschliche Herz. Eine und eben dieselbe Fertigkeit oder Begierde kann in tausenderlei Formen und Richtungen spielen, kann tausend widersprechende Phänomene bewirken, kann in tausend Charakteren anders gemischt erscheinen, und tausend ungleiche Charaktere und Handlungen können wieder aus einerlei Neigung gesponnen sein, wenn auch der Mensch, von welchem die Rede ist, nichts weniger denn eine solche Verwandtschaft ahndet. Stünde einmal, wie für die übrigen Reiche der Natur, auch für das Menschengeschlecht ein Linnäus auf, welcher nach Trieben und Neigungen klassifizierte, wie sehr würde man erstaunen, wenn man so manchen, dessen Laster in einer engen bürgerlichen Sphäre und in der schmalen Umzäunung der Gesetze jetzt ersticken muß, mit dem Ungeheuer Borgia in einer Ordnung beisammen fände.",null,
Tieck,Die beiden merkwürdigsten Tage aus Siegmunds Leben,"Es war schon gegen Abend, als ein Wagen vor dem Gasthofe stillhielt, und ein junger Mensch munter und fröhlich herausstieg, um sich vom Wirt ein Zimmer anweisen zu lassen. Es entstand ein Laufen im ganzen Hause, Treppe auf und nieder, um Licht und Feuerung zu besorgen, alle Schritte hallten fünffach von den großen Gewölben wider, man führte den Fremden auf sein Zimmer und ließ ihm Wachslichter auf sehr eleganten Leuchtern da, und Herr Siegmund merkte aus allen Zeichen, daß er hier zwar in ein vornehmes, aber gewiß sehr teures Wirtshaus geraten sei.",intern,
Tieck,Die beiden merkwürdigsten Tage aus Siegmunds Leben,"»Mag’s doch!« sagte er ganz laut, indem er mit zuversichtlichen Schritten in seinem Zimmer auf und ab ging, und flüchtig die englischen Kupferstiche betrachtete. »Ich bin morgen vielleicht schon Rat, und alle Sorgen für die Zukunft sind gehoben.«",extern,
Karoline von Günderrode ,Geschichte eines Braminen,"Ich bin, sagte Almor, in Smirna geboren. Mein Vater, ein Franzose und reicher Kaufmann, der von der Christlichen zur Mahomedanischen Religion übergegangen war, behandelte mich, so selten ich auch vor ihm erschien, kalt und unfreundlich, und meine Mutter war vor meiner Erinnerung gestorben. Ich fühlte mich recht verlassen und oft tief erbittert durch meinen Vater. Kinder, wenn sie schon anfangen, das Leben mit den Augen ihres Geistes zu betrachten, werden von den Gewohnheiten, Verhältnissen und Forderungen der menschlichen Gesellschaft beängstigt, und nur die sanfte Hand guter Eltern kann sie ohne große Schmerzen in die ungewohnten Schranken des bürgerlichen und häuslichen Lebens einführen. Durch die Eltern spricht die Natur zuerst zu den Kindern. Wehe den armen Geschöpfen, wenn diese erste Sprache kalt und lieblos ist!",extern,
Karoline von Günderrode ,Geschichte eines Braminen,"Da sich mir mehr unangenehme Gegenstände des Nachdenkens darboten, als angenehme, so entsagte ich ihm bald ganz; selbst die Ceremonien des mahomedanischen Gottesdienstes, die ich täglich mitmachen mußte, erregten meine Neugierde, deren Sinn zu verstehen, nicht. Mein Vater hatte oft gesagt, die Religionen seyen zwar nützliche politische Einrichtungen, allein für den einzelnen Aufgeklärten höchst überflüssig; der Ceremoniendienst war mir ohnehin beschwerlich, ich gab also diesem Ausspruche aus Bequemlichkeit meinen ganzen Beyfall.",extern,
Adelbert von Chamisso ,Adelberts Fabel,"Adelbert merkte, als er erwachte, er müsse lange geschlafen haben; er rieb sich die Augen, die sich nicht recht dem Lichte öffnen wollten, und den Kopf, der ihm ganz wüste war; er besann sich endlich doch der Absicht, die er gehabt hatte: auf die weite mühselige Wanderung auszugehen, um die Welt zu erschauen, sich selbst in ihr, sodann nachzudenken, und zu begreifen, falls er’s vermöchte; denn diese Dinge reizten ihn. Er sah den weißen Wanderstab neben sich liegen, wollte den ergreifen, sich aufraffen und unverdrossen weiter ziehen, aber der Winter war angebrochen und es war kalt; es hatte gefroren während seines Schlafes, und so fand er, daß sein Stab und seine Kleider und er selbst fest angefroren waren an dem Boden, so daß er sich nicht zu regen vermochte; die Hände nur, die auf seiner Brust geruht hatten, waren ihm frei geblieben. Durch die Zweige des Baumes, unter dem er lag, die nackt waren und ihres grünen Schmuckes beraubt, ging ein düstrer Nebelwind, daß sie unholden Klanges an einander rauschten; – es ist doch seltsam, dachte Adelbert; und er schlummerte wieder ein.",intern,
Adelbert von Chamisso ,Adelberts Fabel,"Adelbert schlummerte ein, und ward wach, und schlummerte wieder, und ermunterte sich aufs neue; hinter ihm (er lag gegen Norden hingestreckt) ging die Sonne auf, und ging nieder, und es wechselten die Monde, und die Jahre vergingen: er aber lag immer noch fest angefroren an dem Boden, und über seinem Haupte rauschten blätterlos die dürren windgeschlagenen Äste des Baumes. – Auch hatten sich rings um ihn, so weit er sehen konnte, Mauern aus Eis getürmt, die ihn umfingen und sich eng und enger um ihn drängten, gleich Mauern eines Kerkers, eines Grabes. Es ist doch seltsam, dachte Adelbert, und eine Beschwerde auf der Reise, und er dachte viel Törichtes, und wenig, das es nicht war; wie es denn manchem auf seiner Reise zu gehen pflegt.",intern,
Johann Wolfgang Goethe ,Die wunderlichen Nachbarskinder,"Zwei Nachbarskinder von bedeutenden Häusern, Knabe und Mädchen, in verhältnismäßigem Alter um dereinst Gatten zu werden, ließ man in dieser angenehmen Aussicht miteinander aufwachsen, und die beiderseitigen Eltern freuten sich einer künftigen Verbindung. Doch man bemerkte gar bald, daß die Absicht zu mißlingen schien, indem sich zwischen den beiden trefflichen Naturen ein sonderbarer Widerwille hervortat. Vielleicht waren sie einander zu ähnlich. Beide in sich selbst gewendet, deutlich in ihrem Wollen, fest in ihren Vorsätzen; jedes einzeln geliebt und geehrt von seinen Gespielen; immer Widersacher, wenn sie zusammen waren, immer aufbauend für sich allein, immer wechselsweise zerstörend, wo sie sich begegneten, nicht wetteifernd nach einem Ziel, aber immer kämpfend um einen Zweck; gutartig durchaus und liebenswürdig, und nur hassend, ja bösartig, indem sie sich aufeinander bezogen.",null,"Unwahrscheinlich, dass eine Figur, die Teil der erzählten Welt ist, einen derartgen Überblick zustande brächte"
Johann Wolfgang Goethe ,Die wunderlichen Nachbarskinder,"Dieses wunderliche Verhältnis zeigte sich schon bei kindischen Spielen, es zeigte sich bei zunehmenden Jahren. Und wie die Knaben Krieg zu spielen, sich in Parteien zu sondern, einander Schlachten zu liefern pflegen, so stellte sich das trotzig mutige Mädchen einst an die Spitze des einen Heers, und focht gegen das andre mit solcher Gewalt und Erbitterung, daß dieses schimpflich wäre in die Flucht geschlagen worden, wenn ihr einzelner Widersacher sich nicht sehr brav gehalten und seine Gegnerin doch noch zuletzt entwaffnet und gefangen genommen hätte. Aber auch da noch wehrte sie sich so gewaltsam, daß er, um seine Augen zu erhalten, und die Feindin doch nicht zu beschädigen, sein seidenes Halstuch abreißen und ihr die Hände damit auf den Rücken binden mußte.",null,
